Population: 20	Generations: 25	Crossover Prob: 0.9	Differential Weight: 0.8
gen	evals	avg   	std     	min	max
0  	20   	125.3 	2.17025 	122	130
1  	20   	125.6 	2.05913 	122	130
2  	20   	126.45	1.82962 	123	130
3  	20   	126.9 	1.60935 	124	130
4  	20   	127.2 	1.56844 	125	130
5  	20   	127.3 	1.48661 	125	130
6  	20   	127.45	1.49917 	125	130
7  	20   	127.9 	1.09087 	126	130
8  	20   	128.2 	0.927362	126	130
9  	20   	128.3 	0.842615	127	130
10 	20   	128.35	0.792149	127	130
11 	20   	128.4 	0.734847	127	130
12 	20   	128.6 	0.734847	127	130
13 	20   	128.65	0.726292	127	130
14 	20   	128.65	0.726292	127	130
15 	20   	128.8 	0.6     	128	130
16 	20   	128.95	0.589491	128	130
17 	20   	128.95	0.589491	128	130
18 	20   	129.1 	0.43589 	128	130
19 	20   	129.1 	0.43589 	128	130
20 	20   	129.1 	0.43589 	128	130
21 	20   	129.2 	0.4     	129	130
22 	20   	129.2 	0.4     	129	130
23 	20   	129.25	0.433013	129	130
24 	20   	129.25	0.433013	129	130
Raw Best Weight: [0.7223195311235262, 0.9906491518182916, 0.8003666904844812, 0.26710025351075445]	Accuracy: [130, 176, 202]
