---Running 10-fold CV---

Fold  1 - Raw Best Weight: [0.7044194249847312, 0.05105554946658575, 0.007874825074400182, 0.2282042552183726]	Accuracy: [15, 17, 21] out of 36	Time Taken: 409.78416991233826
Population: 20	Generations: 25	Crossover Prob: 0.9	Differential Weight: 0.8
gen	evals	avg   	std     	min	max
0  	20   	112.1 	1.41067 	109	114
1  	20   	112.4 	1.39284 	110	115
2  	20   	112.95	1.39553 	110	115
3  	20   	113.6 	0.916515	112	115
4  	20   	113.65	0.852936	112	115
5  	20   	113.9 	0.943398	112	116
6  	20   	114.25	0.698212	113	116
7  	20   	114.3 	0.640312	113	116
8  	20   	114.3 	0.640312	113	116
9  	20   	114.35	0.572276	114	116
10 	20   	114.4 	0.583095	114	116
11 	20   	114.4 	0.583095	114	116
12 	20   	114.6 	0.734847	114	116
13 	20   	114.75	0.766485	114	116
14 	20   	114.75	0.766485	114	116
15 	20   	114.8 	0.748331	114	116
16 	20   	114.8 	0.748331	114	116
17 	20   	114.85	0.726292	114	116
18 	20   	115   	0.774597	114	116
19 	20   	115   	0.774597	114	116
20 	20   	115.1 	0.7     	114	116
21 	20   	115.1 	0.7     	114	116
22 	20   	115.15	0.653835	114	116
23 	20   	115.15	0.653835	114	116
24 	20   	115.15	0.653835	114	116
Fold  2 - Raw Best Weight: [0.7246312592494756, 0.9798629475352172, 0.7298798886943317, 0.2860212569631721]	Accuracy: [12, 18, 18] out of 36	Time Taken: 415.58967304229736
Population: 20	Generations: 25	Crossover Prob: 0.9	Differential Weight: 0.8
gen	evals	avg   	std     	min	max
0  	20   	112.3 	2.57099 	108	117
1  	20   	113.4 	2.0347  	110	117
2  	20   	114.05	1.93585 	111	117
3  	20   	114.25	1.94615 	111	117
4  	20   	114.8 	1.80555 	111	117
5  	20   	115.3 	1.41774 	112	117
6  	20   	115.85	1.19478 	112	117
7  	20   	115.9 	1.22066 	112	117
8  	20   	116.2 	0.748331	115	117
9  	20   	116.3 	0.714143	115	117
10 	20   	116.45	0.739932	115	118
11 	20   	116.55	0.668954	115	118
12 	20   	116.65	0.653835	116	118
13 	20   	116.65	0.653835	116	118
14 	20   	116.7 	0.640312	116	118
15 	20   	116.75	0.622495	116	118
16 	20   	116.95	0.589491	116	118
17 	20   	117   	0.547723	116	118
18 	20   	117   	0.547723	116	118
19 	20   	117   	0.547723	116	118
20 	20   	117   	0.547723	116	118
21 	20   	117.1 	0.43589 	116	118
22 	20   	117.1 	0.43589 	116	118
23 	20   	117.1 	0.43589 	116	118
24 	20   	117.15	0.47697 	116	118
Fold  3 - Raw Best Weight: [23.803448542593777, 30.727032942006574, 24.548418871647733, 8.827449517308969]	Accuracy: [11, 18, 18] out of 36	Time Taken: 399.7772259712219
Population: 20	Generations: 25	Crossover Prob: 0.9	Differential Weight: 0.8
gen	evals	avg   	std     	min	max
0  	20   	113.15	2.24221 	109	118
1  	20   	114.45	1.88348 	112	118
2  	20   	114.65	1.73997 	112	118
3  	20   	114.95	1.71683 	112	118
4  	20   	115.15	1.58981 	113	118
5  	20   	116.15	1.52561 	113	118
6  	20   	116.55	1.24399 	113	118
7  	20   	116.9 	1.13578 	114	118
8  	20   	116.95	1.16082 	114	118
9  	20   	116.95	1.16082 	114	118
10 	20   	117.3 	0.714143	115	118
11 	20   	117.35	0.726292	115	118
12 	20   	117.55	0.497494	117	118
13 	20   	117.65	0.47697 	117	118
14 	20   	117.9 	0.6245  	117	119
15 	20   	118.15	0.572276	117	119
16 	20   	118.35	0.572276	117	119
17 	20   	118.5 	0.5     	118	119
18 	20   	118.85	0.357071	118	119
19 	20   	118.85	0.357071	118	119
20 	20   	119   	0       	119	119
21 	20   	119   	0       	119	119
22 	20   	119   	0       	119	119
23 	20   	119   	0       	119	119
24 	20   	119   	0       	119	119
Fold  4 - Raw Best Weight: [10.52327503590885, 11.075017313168424, 0.7158126180947524, 19.880988478318425]	Accuracy: [8, 13, 15] out of 35	Time Taken: 412.6565570831299
Population: 20	Generations: 25	Crossover Prob: 0.9	Differential Weight: 0.8
gen	evals	avg   	std     	min	max
0  	20   	115.5 	1.62788 	113	118
1  	20   	115.7 	1.70587 	113	118
2  	20   	116.4 	1.46287 	113	118
3  	20   	116.85	0.963068	115	118
4  	20   	116.95	0.920598	115	118
5  	20   	117.15	1.10793 	115	120
6  	20   	117.5 	0.921954	116	120
7  	20   	117.8 	0.812404	117	120
8  	20   	118   	0.774597	117	120
9  	20   	118.1 	0.768115	117	120
10 	20   	118.2 	0.678233	117	120
11 	20   	118.3 	0.714143	117	120
12 	20   	118.35	0.726292	117	120
13 	20   	118.6 	0.734847	117	120
14 	20   	118.8 	0.6     	118	120
15 	20   	118.8 	0.6     	118	120
16 	20   	118.8 	0.6     	118	120
17 	20   	118.85	0.572276	118	120
18 	20   	118.9 	0.6245  	118	120
19 	20   	119   	0.632456	118	120
20 	20   	119.05	0.589491	118	120
21 	20   	119.15	0.572276	118	120
22 	20   	119.15	0.572276	118	120
23 	20   	119.2 	0.6     	118	120
24 	20   	119.35	0.653835	118	120
Fold  5 - Raw Best Weight: [0.4633488492215835, 0.5089823832597653, 0.34183763593424554, 0.8804434220903556]	Accuracy: [14, 18, 22] out of 35	Time Taken: 418.1387641429901
Population: 20	Generations: 25	Crossover Prob: 0.9	Differential Weight: 0.8
gen	evals	avg   	std     	min	max
0  	20   	111.25	1.54515 	108	115
1  	20   	111.55	1.46544 	108	115
2  	20   	112.05	1.16082 	110	115
3  	20   	112.2 	1.1225  	111	115
4  	20   	112.55	0.920598	111	115
5  	20   	112.65	0.852936	111	115
6  	20   	112.65	0.852936	111	115
7  	20   	112.8 	0.812404	112	115
8  	20   	112.8 	0.812404	112	115
9  	20   	112.95	0.739932	112	115
10 	20   	113.05	0.739932	112	115
11 	20   	113.05	0.739932	112	115
12 	20   	113.1 	0.7     	112	115
13 	20   	113.15	0.726292	112	115
14 	20   	113.2 	0.678233	112	115
15 	20   	113.2 	0.678233	112	115
16 	20   	113.2 	0.678233	112	115
