---Running 10-fold CV---

Fold  1 - Raw Best Weight: [2.5733255117748244, 2.96608048715058, 2.445331868240423, 2.794512228019769]	Accuracy: [14, 19, 23] out of 36	Time Taken: 378.2714989185333
Particles: 10	Generations: 50
gen	evals	avg  	std     	min	max
0  	10   	109.3	1.95192 	107	113
1  	10   	109.4	2.41661 	106	114
2  	10   	109.7	1.79165 	108	114
3  	10   	110.5	2.61725 	105	114
4  	10   	110.2	1.77764 	106	112
5  	10   	110.9	1.7     	108	114
6  	10   	111.4	2.05913 	108	114
7  	10   	111.1	1.86815 	107	114
8  	10   	112.2	1.93907 	108	114
9  	10   	112.3	1.73494 	109	114
10 	10   	111.3	2.14709 	107	114
11 	10   	112.6	1.62481 	109	114
12 	10   	113.8	0.748331	112	115
13 	10   	113.5	1.11803 	111	115
14 	10   	113.8	1.32665 	110	115
15 	10   	114  	0.447214	113	115
16 	10   	113.8	0.748331	113	115
17 	10   	113.1	1.75784 	109	115
18 	10   	112.5	1.9105  	109	114
19 	10   	112.6	2.05913 	108	115
20 	10   	113  	1.84391 	108	114
21 	10   	113.8	1.16619 	111	115
22 	10   	113.9	1.13578 	112	115
23 	10   	113.8	0.4     	113	114
24 	10   	113.6	1.0198  	111	115
25 	10   	113.8	1.07703 	112	115
26 	10   	114  	1       	112	115
27 	10   	113.4	1.56205 	109	115
28 	10   	112.4	1.95959 	108	114
29 	10   	112.1	2.16564 	108	115
30 	10   	113.1	1.44568 	110	114
31 	10   	113.8	0.748331	112	115
32 	10   	113.6	1.0198  	112	115
33 	10   	113.2	1.07703 	111	114
34 	10   	113.4	1.28062 	111	115
35 	10   	113.6	0.916515	112	115
36 	10   	113.5	1.0247  	111	115
37 	10   	112.7	1.73494 	110	115
38 	10   	112.4	1.8     	109	115
39 	10   	112.5	1.68819 	110	114
40 	10   	112.8	1.6     	109	114
41 	10   	113.6	1.42829 	110	115
42 	10   	113.9	1.04403 	111	115
43 	10   	113.3	1.18743 	110	114
44 	10   	112.5	1.62788 	110	114
45 	10   	112.8	1.53623 	110	115
46 	10   	113.4	1.74356 	110	115
47 	10   	112.9	1.3     	111	115
48 	10   	112.2	1.83303 	110	115
49 	10   	111.9	2.2561  	107	114
Fold  2 - Raw Best Weight: [0.673733048013744, 0.7914757290505221, 0.5417639630799351, 1.385745792096289]	Accuracy: [12, 20, 21] out of 36	Time Taken: 420.2558741569519
Particles: 10	Generations: 50
gen	evals	avg  	std    	min	max
0  	10   	110.3	2.57099	106	115
1  	10   	110.3	2.45153	108	115
2  	10   	109.7	2.05183	107	114
3  	10   	110.3	2.0025 	107	114
4  	10   	110  	2.68328	106	115
