Population: 20	Generations: 25	Crossover Prob: 0.9	Differential Weight: 0.8
gen	evals	avg    	std    	min  	max  
0  	20   	17514.6	12.4274	17497	17533
1  	20   	17508.8	10.4144	17497	17530
2  	20   	17505  	7.47981	17497	17528
3  	20   	17501.2	5.49795	17493	17517
4  	20   	17500.1	4.77389	17493	17517
5  	20   	17498.7	4.90179	17493	17517
6  	20   	17498  	2.90646	17493	17505
7  	20   	17497.5	3.02448	17493	17505
8  	20   	17497.2	2.56125	17493	17501
9  	20   	17497  	2.47942	17493	17501
10 	20   	17496.8	2.42642	17493	17501
11 	20   	17496.7	2.43105	17493	17501
12 	20   	17496.5	2.5593 	17493	17501
13 	20   	17496.1	2.34307	17493	17499
14 	20   	17496  	2.2243 	17493	17499
15 	20   	17495.8	2.02176	17493	17499
16 	20   	17495.5	1.80278	17493	17498
17 	20   	17495.4	1.85472	17493	17498
18 	20   	17495.2	1.73997	17493	17498
19 	20   	17494.8	1.65151	17493	17498
20 	20   	17494.8	1.65151	17493	17498
21 	20   	17494.8	1.51245	17493	17498
22 	20   	17494.8	1.51245	17493	17498
23 	20   	17494.6	1.52971	17493	17498
24 	20   	17494.5	1.56445	17493	17498
Raw Best Weight: [0.38238131341026554, 0.5099966290325526, 0.001, 0.3056269244501898]	Accuracy: [131, 180, 201]
