---Running 10-fold CV---

Fold  1 - Raw Best Weight: [0.04908624025046682, 0.7372190225884727, 0.187747484778426, 1.34831155860427]	Accuracy: [14, 17, 19] out of 36	Time Taken: 388.08261799812317
Particles: 10	Generations: 50
gen	evals	avg  	std    	min	max
0  	10   	109.4	2.05913	105	113
1  	10   	110.6	1.8    	108	113
2  	10   	111.8	1.16619	110	113
3  	10   	111.7	1.61555	109	114
4  	10   	111.6	1.74356	108	114
5  	10   	110.6	1.95959	106	113
6  	10   	112.1	1.3    	110	114
7  	10   	111.6	1.49666	109	114
8  	10   	110.6	2.61534	106	115
9  	10   	109.8	2.4    	107	114
10 	10   	111.1	1.81384	108	114
11 	10   	111.6	1.74356	108	114
12 	10   	111.8	1.83303	109	115
13 	10   	111.6	1.42829	109	114
14 	10   	111.8	2.74955	109	118
15 	10   	110.9	1.86815	109	114
16 	10   	112.7	2.36854	109	117
17 	10   	113.2	2.18174	110	116
18 	10   	113.8	2.03961	109	117
19 	10   	113.9	2.34307	110	117
20 	10   	114.6	1.11355	112	116
21 	10   	113.2	2.31517	109	117
22 	10   	112.9	2.80891	109	117
23 	10   	113.6	2.10713	109	116
24 	10   	115  	1.34164	113	117
25 	10   	114.3	1.9    	111	117
26 	10   	113.4	1.90788	110	116
27 	10   	113.3	1.73494	110	116
28 	10   	114.4	1.90788	111	117
29 	10   	113.9	2.16564	109	117
30 	10   	114.4	2.33238	109	118
31 	10   	114.1	1.81384	112	117
32 	10   	114.1	2.50799	108	116
33 	10   	113.3	1.84662	110	116
34 	10   	114.4	1.74356	111	117
35 	10   	113.7	1.48661	111	116
36 	10   	113.3	1.48661	110	116
37 	10   	113.6	2.05913	109	116
38 	10   	113.7	1.41774	111	116
39 	10   	113.4	3.07246	108	117
40 	10   	114.2	2.18174	110	116
41 	10   	114.1	2.54755	109	117
42 	10   	114.6	1.68523	111	116
43 	10   	113.7	1.73494	111	116
44 	10   	114.5	1.74642	110	116
45 	10   	113.2	1.53623	110	115
46 	10   	113.6	1.95959	109	116
47 	10   	113.4	2.37487	109	118
48 	10   	113.7	2.45153	109	118
49 	10   	113.5	2.76586	108	117
Fold  2 - Raw Best Weight: [0.35166483894601674, 0.5993388760940106, 0.019399717244620585, 0.25990042211029707]	Accuracy: [13, 20, 21] out of 36	Time Taken: 384.50578808784485
Particles: 10	Generations: 50
gen	evals	avg  	std     	min	max
0  	10   	112.8	2.18174 	111	119
1  	10   	110.5	2.01246 	107	113
2  	10   	111.5	2.15639 	107	114
3  	10   	111.2	1.93907 	109	114
4  	10   	112.3	1.41774 	110	115
5  	10   	112  	2.64575 	107	116
6  	10   	113.2	3.09192 	109	119
7  	10   	112.9	1.92094 	110	117
8  	10   	113.3	3.34813 	108	119
9  	10   	112.6	2.2     	110	117
10 	10   	112.9	1.7     	111	117
11 	10   	112.9	2.46779 	110	119
