---Running 10-fold CV---

Fold  1 - Raw Best Weight: [7.670476729000603, 7.299212890487563, 9.294567138368535, 4.509750374684959]	Accuracy: [14, 18, 19] out of 36	Time Taken: 372.5117449760437
Population: 20	Generations: 25	Crossover Prob: 0.9	Differential Weight: 0.8
gen	evals	avg    	std     	min  	max  
0  	20   	16066.5	11.0882 	16048	16088
1  	20   	16061.3	9.40266 	16048	16083
2  	20   	16055.5	4.77991 	16048	16063
3  	20   	16054.5	4.03082 	16048	16063
4  	20   	16052.5	3.66742 	16048	16060
5  	20   	16051.4	2.4955  	16048	16056
6  	20   	16051  	2.21359 	16048	16055
7  	20   	16049.9	1.93067 	16047	16055
8  	20   	16049.6	2.03162 	16047	16055
9  	20   	16049.4	2.00998 	16047	16055
10 	20   	16048.8	1.51245 	16046	16052
11 	20   	16048.5	1.20312 	16046	16051
12 	20   	16048.4	1.15758 	16046	16051
13 	20   	16048.2	1.1225  	16046	16051
14 	20   	16048.2	1.1225  	16046	16051
15 	20   	16048.1	1.10793 	16046	16051
16 	20   	16048.1	1.09087 	16046	16051
17 	20   	16047.9	0.888819	16046	16049
18 	20   	16047.8	0.887412	16046	16049
19 	20   	16047.5	0.864581	16046	16049
20 	20   	16047.4	0.860233	16046	16049
21 	20   	16047  	1.78885 	16040	16049
22 	20   	16047  	1.74571 	16040	16049
23 	20   	16047  	1.74571 	16040	16049
24 	20   	16047  	1.74571 	16040	16049
Fold  2 - Raw Best Weight: [0.6537940632505895, 2.7084262533777865, 1.9490152254455364, 0.0011990051383738757]	Accuracy: [14, 22, 23] out of 36	Time Taken: 394.0821521282196
Population: 20	Generations: 25	Crossover Prob: 0.9	Differential Weight: 0.8
gen	evals	avg    	std     	min  	max  
0  	20   	15320.9	11.6228 	15303	15356
1  	20   	15315  	7.30068 	15303	15330
2  	20   	15313.3	5.87452 	15303	15328
3  	20   	15311.4	3.85065 	15303	15321
4  	20   	15310.9	3.88458 	15303	15321
5  	20   	15309.7	2.88271 	15303	15314
6  	20   	15308.6	2.74363 	15303	15314
7  	20   	15308.3	2.47184 	15303	15312
8  	20   	15307.9	2.30814 	15303	15312
9  	20   	15306.8	2.46729 	15303	15311
10 	20   	15306.8	2.46729 	15303	15311
11 	20   	15306.3	2.36854 	15303	15310
12 	20   	15305.9	2.12779 	15303	15310
13 	20   	15305.8	2.08806 	15303	15310
14 	20   	15305.2	1.81315 	15303	15309
15 	20   	15305  	1.61245 	15303	15309
16 	20   	15304.9	1.67033 	15302	15309
17 	20   	15304.5	1.43091 	15302	15307
18 	20   	15304.5	1.39642 	15302	15307
19 	20   	15304.2	1.21963 	15302	15307
20 	20   	15304  	1.02347 	15302	15306
21 	20   	15303.8	0.887412	15302	15306
22 	20   	15303.8	0.887412	15302	15306
23 	20   	15303.7	0.781025	15302	15305
24 	20   	15303.5	0.804674	15302	15305
Fold  3 - Raw Best Weight: [0.040842044411741996, 0.9239886384077436, 2.2575660074437756, 0.001]	Accuracy: [10, 14, 20] out of 36	Time Taken: 396.3340280056
Population: 20	Generations: 25	Crossover Prob: 0.9	Differential Weight: 0.8
gen	evals	avg    	std    	min  	max  
0  	20   	15960  	10.6933	15940	15983
1  	20   	15956.5	11.0567	15940	15983
2  	20   	15954  	9.58893	15940	15973
3  	20   	15949.8	9.34813	15936	15973
4  	20   	15947.5	8.7033 	15936	15973
5  	20   	15945  	5.88621	15936	15957
6  	20   	15942.8	4.33128	15936	15954
7  	20   	15942.4	4.10366	15936	15954
8  	20   	15941.9	3.19218	15936	15947
9  	20   	15941  	2.96648	15936	15947
10 	20   	15940.6	2.74591	15936	15947
11 	20   	15940.2	2.6244 	15936	15947
12 	20   	15939.7	2.14709	15936	15944
13 	20   	15939.4	2.0347 	15936	15944
14 	20   	15939.1	2.21133	15935	15944
15 	20   	15939  	2.17888	15935	15944
16 	20   	15939  	2.17888	15935	15944
17 	20   	15938.8	2.13542	15935	15943
18 	20   	15938.6	1.90788	15935	15943
19 	20   	15938.5	1.85742	15935	15943
20 	20   	15937.7	1.41774	15935	15940
21 	20   	15937.7	1.41774	15935	15940
22 	20   	15937.7	1.41774	15935	15940
23 	20   	15937.6	1.35647	15935	15940
24 	20   	15937.6	1.35647	15935	15940
Fold  4 - Raw Best Weight: [0.48087315242764705, 2.9210303354322824, 2.421376863442009, 0.02449939072294135]	Accuracy: [10, 15, 18] out of 35	Time Taken: 417.49559712409973
Population: 20	Generations: 25	Crossover Prob: 0.9	Differential Weight: 0.8
gen	evals	avg    	std     	min  	max  
0  	20   	16288.5	11.7664 	16272	16325
1  	20   	16282  	7.39594 	16271	16298
2  	20   	16278.6	6.49827 	16271	16293
3  	20   	16277.4	6.57476 	16266	16290
4  	20   	16274.1	4.87109 	16266	16284
5  	20   	16272  	3.70135 	16266	16278
6  	20   	16271.6	3.33766 	16266	16278
7  	20   	16269.8	2.84385 	16263	16275
8  	20   	16269  	2.55881 	16263	16273
9  	20   	16268.2	2.36379 	16263	16272
10 	20   	16267.5	2.37645 	16263	16272
11 	20   	16267.5	2.39792 	16263	16272
12 	20   	16266.9	2.05609 	16263	16271
13 	20   	16266.4	2.13073 	16263	16271
14 	20   	16266  	1.93585 	16263	16271
15 	20   	16265.3	1.97737 	16262	16271
16 	20   	16265.1	2.00686 	16262	16271
17 	20   	16264.8	1.50333 	16262	16268
18 	20   	16264.6	1.31909 	16262	16267
19 	20   	16264.4	1.46287 	16262	16267
20 	20   	16263.9	1.17898 	16262	16267
21 	20   	16263.4	1.11355 	16261	16266
22 	20   	16263  	0.920598	16261	16264
23 	20   	16262.9	0.888819	16261	16264
24 	20   	16262.8	0.942072	16261	16264
Fold  5 - Raw Best Weight: [1.3086897831207747, 3.1213322763394427, 2.6674327961714437, 0.31240546594355995]	Accuracy: [11, 15, 16] out of 35	Time Taken: 403.6741349697113
Population: 20	Generations: 25	Crossover Prob: 0.9	Differential Weight: 0.8
gen	evals	avg    	std     	min  	max  
0  	20   	14743.9	16.1768 	14720	14776
1  	20   	14737  	14.165  	14720	14776
2  	20   	14732  	9.51565 	14720	14759
3  	20   	14730.2	8.48882 	14720	14759
4  	20   	14726  	3.24037 	14720	14734
5  	20   	14723.8	2.54165 	14720	14729
6  	20   	14723  	2.06095 	14720	14726
7  	20   	14722.8	1.89407 	14720	14726
8  	20   	14722.4	1.65151 	14720	14725
9  	20   	14721.9	1.7     	14719	14725
10 	20   	14721.6	1.52971 	14719	14725
11 	20   	14721.2	1.1225  	14719	14723
12 	20   	14721  	1.30384 	14718	14723
13 	20   	14720.8	1.25996 	14718	14723
14 	20   	14720.5	1.11803 	14718	14723
15 	20   	14720.1	1.27574 	14718	14723
16 	20   	14719.5	1.43091 	14717	14723
17 	20   	14719.5	1.35923 	14717	14723
18 	20   	14719.4	1.39284 	14717	14723
19 	20   	14719.1	1.10793 	14717	14721
20 	20   	14718.9	1.09087 	14717	14721
21 	20   	14718.8	1.07703 	14717	14721
22 	20   	14718.6	0.90967 	14717	14720
23 	20   	14718.6	0.860233	14717	14720
24 	20   	14718.5	0.864581	14717	14720
Fold  6 - Raw Best Weight: [1.1242872488915194, 1.4201222985583195, 1.154310242471895, 0.014968102948605011]	Accuracy: [15, 19, 21] out of 35	Time Taken: 416.5107421875
Population: 20	Generations: 25	Crossover Prob: 0.9	Differential Weight: 0.8
gen	evals	avg    	std     	min  	max  
0  	20   	16702.9	8.87074 	16691	16724
1  	20   	16700.5	5.50886 	16691	16709
2  	20   	16699.7	5.03264 	16691	16706
3  	20   	16697.8	4.63546 	16691	16706
