---Running 10-fold CV---

Fold  1 - Raw Best Weight: [2.856720306439306, 1.962624794080603, 1.121781009488663, 0.5542000937769412]	Accuracy: [14, 17, 20] out of 36	Time Taken: 518.6701588630676
Particles: 10	Generations: 50
gen	evals	avg    	std    	min  	max  
0  	10   	16070.9	11.5624	16061	16102
1  	10   	16079.1	14.4323	16059	16106
2  	10   	16076.9	13.0495	16059	16094
3  	10   	16069.2	13.9054	16055	16093
4  	10   	16064.3	8.96716	16054	16087
5  	10   	16055.1	3.7    	16047	16060
6  	10   	16053.2	2.44131	16050	16057
7  	10   	16052.9	2.98161	16050	16061
8  	10   	16052.1	3.23883	16048	16059
9  	10   	16050  	1.54919	16048	16053
10 	10   	16053.3	3.19531	16047	16058
11 	10   	16053.5	3.58469	16049	16061
12 	10   	16053.3	5.29245	16049	16068
13 	10   	16052.5	3.29393	16047	16059
14 	10   	16053.6	3.44093	16048	16059
15 	10   	16054.1	3.53412	16049	16060
16 	10   	16056.2	6.19355	16049	16066
17 	10   	16055.2	5.05569	16049	16067
18 	10   	16053.5	4.29535	16049	16065
19 	10   	16050.7	2.9    	16047	16058
20 	10   	16052  	2.60768	16048	16056
21 	10   	16051.9	3.59026	16048	16060
22 	10   	16051.1	2.87924	16047	16055
23 	10   	16051  	1.41421	16049	16053
24 	10   	16053.2	3.48712	16050	16061
25 	10   	16052.2	2.4    	16049	16055
26 	10   	16052.7	3.68917	16048	16059
27 	10   	16051.5	3.44238	16047	16058
28 	10   	16053  	3.40588	16049	16062
29 	10   	16051.3	2.79464	16048	16058
30 	10   	16050.2	1.66132	16047	16052
31 	10   	16051.5	2.57876	16047	16056
32 	10   	16052.4	4.22374	16048	16063
33 	10   	16054.6	3.00666	16050	16060
34 	10   	16053.6	3.52704	16050	16062
35 	10   	16053.1	3.5623 	16047	16057
36 	10   	16051.9	3.38969	16047	16059
37 	10   	16052.8	3.54401	16048	16061
38 	10   	16051.7	3.16386	16049	16060
39 	10   	16051.4	2.72764	16048	16057
40 	10   	16050.9	3.38969	16046	16058
41 	10   	16052.2	3.78946	16048	16060
42 	10   	16052.5	4.52217	16046	16062
43 	10   	16054.9	4.88774	16048	16066
44 	10   	16053.7	3.34813	16048	16061
45 	10   	16052.9	2.42693	16047	16056
46 	10   	16051.8	2.67582	16047	16056
47 	10   	16052.3	3.8223 	16047	16060
48 	10   	16052.9	5.10784	16047	16067
49 	10   	16052.6	3.13688	16049	16058
Fold  2 - Raw Best Weight: [0.17397499171555608, 0.779909226767482, 0.5588649183634529, 0.001]	Accuracy: [14, 22, 23] out of 36	Time Taken: 508.63502502441406
Particles: 10	Generations: 50
gen	evals	avg    	std    	min  	max  
0  	10   	15321.8	11.0436	15310	15338
1  	10   	15326  	15.824 	15309	15358
2  	10   	15329.9	17.0789	15307	15366
3  	10   	15328.5	19.7901	15309	15374
4  	10   	15321.4	14.3052	15310	15357
5  	10   	15311  	3.63318	15306	15316
6  	10   	15311.1	4.41475	15306	15321
7  	10   	15320  	13.274 	15306	15346
8  	10   	15319.4	20.3774	15301	15376
9  	10   	15317.5	21.9966	15305	15382
10 	10   	15311.7	10.5171	15305	15342
11 	10   	15311.3	10.6118	15304	15342
12 	10   	15311.3	5.728  	15305	15322
13 	10   	15315  	10.0399	15303	15338
14 	10   	15315.7	11.3583	15306	15345
15 	10   	15313.3	10.2864	15304	15336
16 	10   	15308.2	4.21426	15303	15318
17 	10   	15308.8	3.995  	15303	15317
18 	10   	15308.3	3.13209	15303	15313
19 	10   	15310.1	4.72123	15305	15321
20 	10   	15310  	7.89937	15303	15332
21 	10   	15310.3	9.62341	15303	15338
22 	10   	15308.4	7.36478	15303	15330
23 	10   	15312.9	6.74463	15303	15326
24 	10   	15313.9	11.0404	15303	15337
25 	10   	15315.8	10.2548	15305	15338
26 	10   	15313.3	8.06288	15305	15335
27 	10   	15312  	9.42338	15304	15338
28 	10   	15311.3	8.76413	15301	15336
29 	10   	15308.5	4.80104	15303	15316
30 	10   	15308.3	3.52278	15304	15315
31 	10   	15308.5	6.74166	15302	15328
32 	10   	15311.1	10.0145	15302	15331
33 	10   	15312.7	10.5646	15302	15339
34 	10   	15314.3	8.8775 	15304	15329
35 	10   	15314.3	9.49789	15302	15328
36 	10   	15316.2	8.36421	15306	15329
37 	10   	15313.1	10.5304	15303	15337
38 	10   	15311.1	8.09259	15303	15329
39 	10   	15309.2	4.48999	15304	15318
40 	10   	15310.1	7.31369	15302	15328
41 	10   	15308.5	6.46916	15304	15327
42 	10   	15307  	3.03315	15302	15312
43 	10   	15313.3	12.7519	15302	15339
44 	10   	15315.5	11.9436	15306	15338
45 	10   	15315.4	10.5376	15304	15338
46 	10   	15311.7	9.30645	15302	15337
47 	10   	15307.7	3.68917	15303	15316
48 	10   	15310.1	9.86357	15303	15338
49 	10   	15312.8	10.9982	15301	15337
Fold  3 - Raw Best Weight: [0.23511051486408496, 0.17259919703280416, 1.3396423020080652, 0.001]	Accuracy: [10, 17, 21] out of 36	Time Taken: 437.7737989425659
Particles: 10	Generations: 50
gen	evals	avg    	std    	min  	max  
0  	10   	15962.3	13.1685	15942	15988
1  	10   	15960.8	19.9088	15941	16001
2  	10   	15963.1	15.3782	15940	15989
3  	10   	15955  	10.3634	15940	15973
4  	10   	15947.5	7.08872	15935	15956
5  	10   	15942.6	4.2    	15937	15954
6  	10   	15940.7	3.52278	15935	15946
7  	10   	15943.2	5.99667	15936	15959
8  	10   	15943  	4.53872	15937	15954
9  	10   	15944.9	4.90816	15939	15954
10 	10   	15945.7	5.40463	15940	15956
11 	10   	15946.3	6.88549	15936	15958
12 	10   	15943.6	5.53534	15934	15956
13 	10   	15944.1	5.18556	15938	15954
14 	10   	15941  	4      	15935	15949
