Population: 30	Generations: 30	Crossover Prob: 0.9	Differential Weight: 0.8
gen	evals	avg    	std    	min	max
0  	30   	130.267	2.39351	125	135
1  	30   	131    	2.23607	125	135
2  	30   	131.567	1.97793	127	135
3  	30   	131.9  	1.88591	127	135
4  	30   	132.567	1.78294	129	136
5  	30   	133.3  	1.39403	131	137
6  	30   	134.067	1.36463	131	137
7  	30   	134.5  	1.20416	132	137
8  	30   	134.933	1.43604	133	139
9  	30   	135.433	1.30852	134	139
10 	30   	135.7  	1.26886	134	139
11 	30   	135.833	1.31867	134	139
12 	30   	135.967	1.27758	134	139
13 	30   	136.067	1.28927	134	139
14 	30   	136.333	1.37437	134	139
15 	30   	136.433	1.43023	134	139
16 	30   	136.567	1.35851	134	139
17 	30   	136.967	1.47158	134	140
18 	30   	137.033	1.55956	134	140
19 	30   	137.2  	1.46969	134	140
20 	30   	137.4  	1.38082	134	141
21 	30   	137.467	1.28409	135	141
22 	30   	137.733	1.09341	136	141
23 	30   	137.867	1.02415	137	141
24 	30   	137.933	1.03064	137	141
25 	30   	138.067	1.06249	137	141
26 	30   	138.267	1.15277	137	141
27 	30   	138.333	1.13529	137	141
28 	30   	138.433	1.08577	137	141
29 	30   	138.6  	1.1431 	137	141
Raw Best Weight: [5.483351071790757, 5.76904184066106, 1.9519162823226923, 4.955181951627626, 8.66108901334506, 2.4154769535187004, -1.208718449538976, 7.313869429318229]
