---Running 10-fold CV---

Fold  1 - Raw Best Weight: [-1.011954048046302, 1.8532466493353879, 1.079736310035568, 1.5056137965221699, 2.0180829313353175, 1.446199629017944, 0.24594246167717548, 2.5196919079490168]	Accuracy: [14, 17, 18] out of 36	Time Taken: 1776.082022190094
Population: 30	Generations: 30	Crossover Prob: 0.9	Differential Weight: 0.8
gen	evals	avg    	std    	min	max
0  	30   	116.667	2.18072	113	122
1  	30   	117.567	2.13983	113	122
2  	30   	118.333	2.13437	114	122
3  	30   	118.633	1.99137	114	122
4  	30   	119.167	1.9678 	115	122
5  	30   	119.2  	1.9218 	115	122
6  	30   	119.467	1.668  	116	122
7  	30   	120.033	1.663  	116	124
8  	30   	120.067	1.59025	117	124
9  	30   	120.267	1.56915	117	124
10 	30   	120.4  	1.51877	117	124
11 	30   	120.5  	1.40831	117	124
12 	30   	120.667	1.19257	118	124
13 	30   	121.033	1.44875	118	124
14 	30   	121.233	1.54236	119	125
15 	30   	121.367	1.60174	119	125
16 	30   	121.4  	1.60416	119	125
17 	30   	121.433	1.62652	119	125
18 	30   	121.633	1.49406	119	125
19 	30   	121.833	1.41618	120	125
20 	30   	121.9  	1.37477	120	125
21 	30   	122.033	1.40198	120	125
22 	30   	122.133	1.335  	120	125
23 	30   	122.3  	1.32035	120	125
24 	30   	122.533	1.43139	120	126
25 	30   	122.633	1.49406	120	126
26 	30   	122.833	1.39244	121	126
27 	30   	123.033	1.40198	121	126
28 	30   	123.2  	1.44684	121	126
29 	30   	123.2  	1.44684	121	126
Fold  2 - Raw Best Weight: [2.0799872472665477, 3.4996156623864154, 2.048731224300313, 4.654463603059542, 8.187065462076772, 0.9202098239964862, 4.170895479142023, 4.149121101683503]	Accuracy: [15, 23, 23] out of 36	Time Taken: 1893.0352284908295
Population: 30	Generations: 30	Crossover Prob: 0.9	Differential Weight: 0.8
gen	evals	avg    	std    	min	max
0  	30   	114.933	2.74388	110	122
1  	30   	115.7  	2.54493	111	122
2  	30   	116.367	2.22835	112	122
3  	30   	116.6  	2.15407	113	122
4  	30   	117.033	2.10528	113	122
5  	30   	117.7  	2.01908	114	123
6  	30   	117.833	1.98466	114	123
7  	30   	118.067	1.87853	114	123
8  	30   	118.3  	1.71561	115	123
9  	30   	118.533	1.76509	115	123
10 	30   	118.6  	1.76257	115	123
11 	30   	118.8  	1.83303	115	123
12 	30   	118.967	1.79784	116	123
13 	30   	119.167	1.69476	116	123
14 	30   	119.867	1.72691	117	123
15 	30   	119.9  	1.68028	117	123
16 	30   	120.167	1.79041	117	124
17 	30   	120.667	1.79505	117	124
18 	30   	120.933	1.7114 	118	124
19 	30   	121.2  	1.77764	118	125
20 	30   	121.667	1.88562	119	125
21 	30   	121.7  	1.91746	119	125
22 	30   	122.033	1.95761	119	126
23 	30   	123    	2.33809	119	128
24 	30   	123.267	2.35136	119	128
25 	30   	123.733	2.24994	119	128
26 	30   	124.2  	1.98997	120	128
27 	30   	124.467	1.85712	120	128
28 	30   	124.867	1.74611	120	128
29 	30   	125.2  	1.83303	120	128
Fold  3 - Raw Best Weight: [1.3105620245222358, 2.4063705493963394, 2.7187756038197137, 3.2374931702057, 4.312953852507511, 1.055743179915754, 2.345585675782912, 3.264638683797516]	Accuracy: [14, 20, 20] out of 36	Time Taken: 1869.2240562438965
Population: 30	Generations: 30	Crossover Prob: 0.9	Differential Weight: 0.8
gen	evals	avg    	std    	min	max
0  	30   	116.367	2.75056	111	124
1  	30   	117.533	2.96348	111	124
2  	30   	117.767	2.70411	113	124
3  	30   	118    	2.58199	113	124
4  	30   	118.367	2.65183	113	124
5  	30   	118.6  	2.6533 	113	124
6  	30   	119.233	2.37604	114	124
7  	30   	119.6  	2.30362	116	124
8  	30   	120.033	2.28741	116	124
9  	30   	120.633	2.21334	118	125
10 	30   	121.133	2.20202	118	125
11 	30   	121.567	2.17077	118	125
12 	30   	121.667	2.1187 	118	125
13 	30   	122    	1.8619 	118	125
14 	30   	122.167	1.75278	118	125
15 	30   	122.467	1.68787	118	125
16 	30   	122.767	1.78294	118	125
17 	30   	122.967	1.68292	118	125
18 	30   	123    	1.63299	118	125
19 	30   	123.2  	1.77764	118	127
20 	30   	123.5  	1.78419	118	127
21 	30   	123.7  	1.41774	121	127
22 	30   	123.8  	1.35154	121	127
23 	30   	123.9  	1.39881	121	127
24 	30   	123.9  	1.39881	121	127
25 	30   	123.933	1.38884	121	127
26 	30   	124.1  	1.2741 	121	127
27 	30   	124.1  	1.2741 	121	127
28 	30   	124.433	1.49852	121	128
29 	30   	124.633	1.47158	121	128
Fold  4 - Raw Best Weight: [1.6313130575478811, 2.978991497901345, 2.779088077742456, 3.82232878058645, 5.302399399002842, 0.8537127652416123, 2.952431314939689, 3.660665852104255]	Accuracy: [13, 17, 19] out of 35	Time Taken: 1888.945910692215
Population: 30	Generations: 30	Crossover Prob: 0.9	Differential Weight: 0.8
gen	evals	avg    	std    	min	max
0  	30   	118.033	2.24326	113	122
1  	30   	118.933	2.15922	114	122
2  	30   	119.533	2.48641	114	125
3  	30   	120.167	2.01797	117	125
4  	30   	121    	2.43584	117	128
5  	30   	121.3  	2.5318 	117	128
6  	30   	121.833	2.23731	118	128
7  	30   	122.033	2.15226	118	128
8  	30   	122.3  	2.25315	118	128
9  	30   	122.767	2.06047	120	128
