Particles: 10	Generations: 100
gen	evals	avg  	std    	min	max
0  	10   	127.8	2.67582	124	133
1  	10   	125.8	4.91528	119	137
2  	10   	123.8	4.28486	114	131
3  	10   	127.1	3.75366	122	134
4  	10   	130.3	3.34813	125	135
5  	10   	132.7	2.79464	127	137
6  	10   	129.7	4.85901	121	138
7  	10   	127.6	4.82079	120	139
8  	10   	128  	4.19524	124	136
9  	10   	132.4	3.66606	127	137
10 	10   	136  	2.60768	132	140
11 	10   	133.7	3.37787	129	138
12 	10   	130.8	4.0694 	124	137
13 	10   	130.4	3.63868	125	136
14 	10   	132.1	3.80657	123	136
15 	10   	134.4	1.85472	131	137
16 	10   	134.3	2.41039	130	138
17 	10   	131.6	4.005  	126	138
18 	10   	130.7	3.49428	127	138
19 	10   	132.5	2.57876	129	137
20 	10   	134.1	4.1821 	126	139
21 	10   	134  	3.92428	124	138
22 	10   	132.3	2.96816	127	136
23 	10   	131.6	2.90517	128	136
24 	10   	131.7	2.83019	126	137
25 	10   	134.3	2.86531	130	140
26 	10   	133.9	3.08058	127	138
27 	10   	133  	2.96648	127	138
28 	10   	131  	3.60555	126	139
29 	10   	131.6	5.60714	123	140
30 	10   	133.1	4.1821 	126	139
31 	10   	134.4	2.83549	130	138
32 	10   	133.1	2.80891	128	137
33 	10   	132.2	3.45832	125	137
34 	10   	132.7	4.17253	124	137
35 	10   	133.3	3.13209	127	137
36 	10   	133.6	3.61109	126	138
37 	10   	131.3	2.9    	127	137
38 	10   	132.6	4.56508	126	140
39 	10   	133.8	3.57211	128	140
40 	10   	134.7	3.66197	128	139
41 	10   	133.8	2.31517	130	137
42 	10   	132.2	3.84187	125	138
43 	10   	131.7	3.76962	123	136
44 	10   	133.1	3.08058	128	137
45 	10   	132.9	2.38537	129	136
46 	10   	132.2	3.05941	125	138
47 	10   	130.8	3.4    	126	138
48 	10   	131.6	5.1614 	124	142
49 	10   	132.6	3.32265	126	138
50 	10   	133.7	3.63456	127	138
51 	10   	130.8	3.84187	122	136
52 	10   	131.7	4.07554	123	139
53 	10   	130.9	5.04876	123	141
54 	10   	131.9	4.25323	127	138
55 	10   	131.5	4.12916	126	137
56 	10   	132.9	3.2078 	128	137
57 	10   	130.7	3.76962	124	136
58 	10   	131  	3.37639	124	136
59 	10   	130.6	2.76405	127	136
60 	10   	130.9	3.50571	123	137
61 	10   	130.2	3.2187 	124	135
62 	10   	131.7	4.05093	127	141
63 	10   	131.3	4.73392	126	141
64 	10   	131.5	3.55668	127	137
65 	10   	131.5	3.10644	126	138
66 	10   	131.1	3.11288	127	137
67 	10   	131.6	3.38231	128	139
68 	10   	130.1	4.59239	123	137
69 	10   	130.6	4.52106	121	136
70 	10   	130  	3.37639	123	134
71 	10   	132.6	3.35261	126	138
72 	10   	132.9	3.64555	127	140
73 	10   	132  	3.4641 	128	140
74 	10   	133.5	4.29535	127	139
75 	10   	133.6	3.10483	126	137
76 	10   	131.7	2.36854	127	135
77 	10   	131.9	4.15812	126	139
78 	10   	131.5	3.3541 	123	135
79 	10   	132.1	2.84429	127	137
80 	10   	132.8	2.95973	127	137
81 	10   	132.1	2.5865 	128	135
82 	10   	132.2	2.48193	129	137
83 	10   	133.1	2.66271	128	137
84 	10   	133.6	3.32265	127	139
85 	10   	132.6	4.2    	125	138
86 	10   	132.3	3.31813	126	136
87 	10   	132.3	3.37787	126	138
88 	10   	133  	3.43511	127	138
89 	10   	133  	2.86356	128	138
90 	10   	132.8	3.995  	124	140
91 	10   	131.7	3.0348 	127	136
92 	10   	131.1	2.54755	128	135
93 	10   	131.3	3.1    	126	135
94 	10   	133.7	3.74299	128	140
95 	10   	134.1	3.41906	129	138
96 	10   	131.7	3.97618	125	137
97 	10   	131.2	3.31059	124	135
98 	10   	131.6	3.49857	125	138
99 	10   	132.1	3.14484	127	136
Raw Best Weight: [0.2401754028948283, 0.4431038350155855, 0.316100602775654, 1.4678074662738612, 1.5491409726233663, -0.09990677044312617, 1.169183847993226, 0.8210676616707344]
