---Running 10-fold CV---

Fold  1 - Raw Best Weight: [0.4292076600010968, 1.0671246965291141, 0.40904264865977136, 1.8768941443125442, 1.4127049206117113, 0.43454827262855494, 0.8802968265021935, 0.9594226862979275]	Accuracy: [15, 19, 21] out of 36	Time Taken: 1905.3988573551178
Particles: 10	Generations: 100
gen	evals	avg  	std    	min	max
0  	10   	115.5	3.23265	110	121
1  	10   	114.8	2.85657	110	119
2  	10   	111.3	11.9336	76 	118
3  	10   	112.9	6.99214	93 	118
4  	10   	115.2	4.21426	104	120
5  	10   	116.7	2.28254	113	120
6  	10   	116.8	2.99333	113	122
7  	10   	116  	2.28035	111	120
8  	10   	115.1	3.17648	110	121
9  	10   	116.5	2.61725	112	120
10 	10   	116.2	2.82135	113	121
11 	10   	116.7	2.36854	114	121
12 	10   	116.2	2.95973	110	121
13 	10   	116.9	2.3    	113	121
14 	10   	116.4	3.2    	113	121
15 	10   	117.7	3.55106	112	122
16 	10   	116.5	4.20119	110	124
17 	10   	117  	2.79285	112	120
18 	10   	116.9	2.73679	113	123
19 	10   	118.2	1.98997	115	121
20 	10   	117.5	1.96214	113	120
21 	10   	118.1	2.80891	112	122
22 	10   	117.4	3.90384	111	124
23 	10   	116.3	2.93428	113	122
24 	10   	116.8	3.6    	111	122
25 	10   	116.1	3.01496	111	121
26 	10   	117.7	2.64764	112	121
27 	10   	117  	3.06594	113	121
28 	10   	118.5	2.87228	114	125
29 	10   	118  	1.48324	115	120
30 	10   	118.9	1.7    	116	122
31 	10   	118  	3.82099	113	123
32 	10   	117.5	3.41321	113	123
33 	10   	117.7	3.37787	111	124
34 	10   	117.5	2.65518	114	122
35 	10   	117.1	2.94788	113	122
36 	10   	117.6	3.41174	113	122
37 	10   	117.4	2.61534	113	122
38 	10   	117.9	2.11896	115	123
39 	10   	118  	2.09762	114	121
40 	10   	117.6	2.24499	114	122
41 	10   	116.3	3.0348 	112	123
42 	10   	117.3	2.93428	112	121
43 	10   	118.3	3.1    	113	122
44 	10   	117.9	3.08058	112	121
45 	10   	118.2	3.1241 	113	124
46 	10   	117.3	1.95192	114	120
47 	10   	117.8	2.6    	114	122
48 	10   	118.3	1.9    	115	121
49 	10   	118.2	2.44131	114	124
50 	10   	118.7	2.28254	114	123
51 	10   	117.3	2.2383 	114	120
52 	10   	117  	3.6606 	110	123
53 	10   	118.2	3.6    	113	125
54 	10   	118.3	3.31813	114	124
55 	10   	117.8	2.92575	113	123
56 	10   	118.9	3.50571	114	125
57 	10   	117.1	2.77308	114	121
58 	10   	117.2	2.27156	112	121
59 	10   	116.5	2.24722	113	120
60 	10   	116.9	2.16564	113	120
61 	10   	117.8	3.70945	108	122
62 	10   	116.2	4.97594	103	121
63 	10   	117.1	2.98161	109	120
64 	10   	116.6	1.49666	115	120
65 	10   	116.3	2.45153	114	121
66 	10   	118.1	3.47707	113	124
67 	10   	116.9	2.54755	113	120
68 	10   	117.2	1.32665	114	119
69 	10   	117.6	1.85472	114	121
70 	10   	117.3	1.73494	115	121
71 	10   	117.5	2.69258	113	121
72 	10   	117.4	3.63868	109	124
73 	10   	117.3	2.86531	112	123
74 	10   	117.5	2.97489	113	123
75 	10   	118.6	3.97995	112	125
76 	10   	116.3	2.93428	114	124
77 	10   	117.2	2.18174	114	121
78 	10   	117.7	2.68514	115	123
79 	10   	117.9	2.07123	115	122
80 	10   	119.1	2.46779	115	123
81 	10   	118.5	2.24722	116	123
82 	10   	117.9	3.26956	114	124
83 	10   	118.1	3.17648	113	124
84 	10   	117.8	4.01995	108	122
85 	10   	118.5	1.80278	116	121
86 	10   	118.7	2.64764	116	124
87 	10   	118.5	2.57876	115	124
88 	10   	117.6	2.37487	114	123
89 	10   	117.8	2.13542	115	122
90 	10   	118.1	2.02237	115	121
91 	10   	118.6	2.53772	114	123
92 	10   	118.7	3.22645	113	123
93 	10   	119.3	3.87427	110	123
94 	10   	118  	4.17133	109	123
95 	10   	118  	2.93258	113	122
96 	10   	116.9	2.5865 	113	122
97 	10   	117.2	1.83303	114	120
98 	10   	116.1	2.38537	113	120
99 	10   	117  	2.75681	111	122
Fold  2 - Raw Best Weight: [0.004663687549461892, 0.9624958423383199, 0.7465897280420315, 1.398307060475939, 1.4198525883539734, 0.058508046288149596, 0.9297316872200548, 1.3115546168614596]	Accuracy: [14, 20, 23] out of 36	Time Taken: 2070.5690553188324
Particles: 10	Generations: 100
gen	evals	avg  	std    	min	max
0  	10   	113.1	3.44819	108	119
1  	10   	112.7	3.55106	104	117
2  	10   	113.3	2.75862	108	119
3  	10   	113.1	2.94788	106	116
4  	10   	114.9	2.66271	111	119
5  	10   	114.8	2.56125	111	120
6  	10   	112.7	3.19531	106	117
7  	10   	113.2	3.91918	107	122
8  	10   	114.3	3.19531	110	121
9  	10   	117.6	2.76405	113	121
10 	10   	117.6	1.49666	114	119
